"","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","industry"
"11",11,3241.25321743674,4306.63783991085,3294.2160770697,3185.76803163473,2881.53163430792,2886.50960508997,2544.19812818488,3688.78691841024,3804.93275095868,3495.19198408037,3283.92109839216,3506.3313272448,3298.61696874276,1301.77974878104,1204.67083597003,578.196589919847,594.814097079418,595.628486517762,824.844546616873,1022.34302575542,1063.80282232944,1030.18262420427,1081.78886081857,1063.59901363332,887.879784913128,5214.50102357187,6275.15359628614,"Financials: Diversified Financials"
"12",12,5692.26156547665,5896.93740842112,5615.81611894123,3594.69470227401,3667.79133591509,3691.83128758503,3612.57364952291,4368.68034061987,2901.55617818887,2913.05456906417,2397.94831994604,1892.98356843011,1924.6752284827,1896.67121487715,1830.46088743497,1893.42862937096,1914.32735521442,2742.22270815875,2860.25757557835,2723.40649970341,2730.67835325049,3553.89916338784,3465.32397595331,3467.12946768128,2980.12923113711,2932.90945788757,NA,"Financials: Insurance"
"13",13,1052.11220079647,1133.32870253182,1061.14973359047,1048.52309501753,831.909945953854,860.911005404687,769.520544115432,679.3147785271,561.258510533033,537.430737629808,605.793100174299,546.607749177941,564.995421482724,531.177962514089,941.138852752361,884.058721216127,909.08748186843,814.96093970343,828.556086867346,1115.30624862201,816.562977278979,723.335543654387,742.341333761156,694.822415109984,712.828044974277,756.916109228182,7502.39850558524,"Financials: Real Estate"
"14",14,4846.26178969147,4970.30433454841,5021.05557332416,5051.04706642624,4753.16450118932,4627.79126468994,4142.35839477309,3509.6211012445,2575.96527848595,1787.2261411942,1303.92701706315,1059.45295137336,2067.48345669896,1615.8927021134,1267.39063782232,1180.56256897869,826.844356006867,911.870348080392,1022.43686823259,1125.70118670254,1106.39500984418,1392.39918306018,1416.36579984731,1167.60656452223,991.334129713959,871.008721076365,4532.56549136799,"Health Care: Health Care Equipment & Services"
"15",15,2974.92884536031,2821.93792176118,2317.12774797004,2173.75090457523,2478.39231705863,1897.94092626519,1863.28645562775,1621.41111821514,1807.62231496457,1981.30302982347,1955.28305042457,2143.99748754288,3492.89076471467,4015.99207361283,4262.936552908,2744.88089944355,2591.63070015102,2978.70774555167,4154.34672477352,6678.44395925459,5814.2002007951,5241.11725244709,5081.17317787368,4793.6414345179,4632.53886042549,4302.82759119192,7650.02820502425,"Health Care: Pharmaceuticals, Biotechnology & Life Sciences"
"16",16,775.993283786529,912.68424255968,1085.414861338,938.673156534864,1065.80917438792,856.662015715696,847.496802533772,710.544318446779,648.377052984148,696.041767581062,729.759025629903,760.936064789366,803.65986560064,967.299944248774,848.484473169055,683.276910946914,613.293188424942,657.765356552559,543.520542007405,526.326639570768,570.275068229766,555.41920014978,582.585447282711,674.345640751273,826.867959017701,1046.93324563451,10000,"Industrials: Capital Goods"
"17",17,4105.26602846951,4512.51798521128,3888.26178049797,3986.92122926043,2988.56899985185,2670.84671573185,2374.31345851124,2200.46460079121,1946.44810218282,1680.17341165865,1759.29607113095,1814.12713742263,2472.64166121035,2544.6787763814,2301.50880038281,1946.51743663955,2169.41116262238,876.371028857777,800.409261447495,774.066883952425,777.109444824003,807.203305127897,898.133461005899,857.243195113473,756.334083012554,791.906801392327,4876.01793836149,"Industrials: Commercial & Professional Services"
"18",18,9860.21988565473,9867.75538120786,9407.29770249957,9390.62267205106,5466.36552517443,5220.646731046,4826.78844961463,4868.91406120296,3826.6737571941,3358.25955990567,2358.05740687395,2156.21107832273,1592.86614314934,1651.39120317796,1497.04303202529,1578.50847339209,1475.68542473843,1439.37554598629,1231.79532328878,1235.25141813106,1145.270498627,1249.12107381726,1365.04828794253,1154.92952404854,1147.85616581331,1295.5020313179,NA,"Industrials: Transportation"
"19",19,6698.8574609405,6209.99914348816,7384.99153768948,6454.81916714852,5703.38172455142,4834.92876437431,4172.97141162644,491.431785232177,754.29579687631,508.32210888941,539.675393735734,526.887760412404,910.597241507129,886.560480045155,1233.80100693517,1044.22382679241,1576.1061916975,1108.13534106566,1017.24044106267,1414.96336148016,1374.44022194397,1153.65795599186,1184.49986717716,1114.46544338882,882.753717127619,756.730147940599,4703.25809937389,"Information Technology: Software & Services"
"20",20,2074.9509975414,2263.63684907159,2425.0452236678,1999.82164146452,1774.53232661449,1954.80486610342,2290.46586643581,1633.74650354209,2369.1724438807,1608.55569460951,1454.8231648658,1507.47282337137,1114.89119095027,1132.65928944663,1063.59758186533,1103.03828263797,1106.38979711893,1458.47892716133,2370.1923951195,2448.53484059068,2762.70427374893,2446.908889739,2797.15480358904,2188.29063105035,1713.59317841167,1091.50914079816,NA,"Information Technology: Technology Hardware & Equipment"
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,8045.16667997251,8843.59275193919,4442.18778616903,4584.05847604562,4872.56562817653,4455.56582713529,6745.39334879845,6417.00360158012,6483.41436942791,5795.1595212206,5075.08400750473,NA,"Information Technology: Semiconductors & Semiconductor Equipment"
