"","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","industry"
"11",11,9965.74490099251,1601.28738003632,1391.6231021211,1634.43715656777,1240.61563722716,1622.93280918078,1643.07998404403,1373.92847955253,1229.68330021167,1840.18036310762,1389.86532770918,2058.49433077087,2070.27790733304,2000.53762277756,1059.89088945976,1339.87368821584,2460.12389808118,1397.52062874546,1186.37119706809,1197.90331875487,1509.60990815718,3338.65463779561,3361.8924043347,2469.76757466131,2128.83512446412,2159.93386494069,9956.02385102271,"Financials: Diversified Financials"
"12",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,10000,5011.28971995288,5024.65569630805,NA,"Financials: Insurance"
"13",13,3667.57434339832,4221.26387222934,4705.29600880495,4563.43622944363,4096.24955455357,3985.88086992783,4072.51016842674,3746.08617868265,3349.77447918955,4938.78124240468,6720.0537943861,6447.19177835962,6800.82831145316,9898.46479850422,9707.73167080601,9681.6248914218,9762.66277824099,9667.92852883265,9822.10456496065,9811.9667025563,9702.70067130857,9686.69666834006,9814.67915189882,9721.06293323431,9612.72316819666,9553.58625398616,0,"Financials: Real Estate"
"14",14,5766.85879635416,5550.95793195834,5680.40838713683,5575.08735404498,5635.68920161145,5481.9068287531,5149.49101124345,3972.91552163666,3004.79388291341,2796.12678680081,2332.72439938008,1768.54539612717,1734.11375235768,1694.90471653069,1405.13312221926,1390.22886550426,1131.47127609539,1264.92790031891,1221.87948097353,1154.67560949828,1175.22985889739,1393.41254530038,1389.54374778078,1365.83275480308,1267.505634726,1119.23882975266,6506.08320301514,"Health Care: Health Care Equipment & Services"
"15",15,7103.82840597136,7108.57556668864,5352.05247389416,2765.89492259189,3131.0906764054,2501.94465936783,2813.83608824742,2399.61660160082,2431.04787089914,2417.57715611789,2468.56117846852,3351.03090579652,4134.20677855164,5993.73325118985,5475.16157773909,6310.23546069007,4250.43307067136,5249.66777898317,8284.37102293365,8314.44952219515,7124.23487310482,8162.16468523251,8475.21810562189,8601.43218057764,7919.49891816171,8083.50013730427,10000,"Health Care: Pharmaceuticals, Biotechnology & Life Sciences"
"16",16,1549.19173002843,1510.8142534453,1405.02964376923,1157.6488409397,1032.43665392518,1014.31347783185,1029.39450635696,943.150927325307,703.392460332053,671.763723197289,665.862593629507,790.798015913204,840.074627138189,841.709546934592,1030.9121705372,1186.27689519673,1154.40419658077,1005.74720636808,858.896571039903,1019.28263431976,1130.52355530069,761.232554788962,1239.16853468637,1540.94980579833,1387.71457941183,1258.96202283307,10000,"Industrials: Capital Goods"
"17",17,4995.21255919075,5218.04782756261,4201.027057341,3895.68447451351,3392.31703275538,3121.81678013333,2531.57993956983,2002.71461658203,1477.58288396785,1188.04453135174,1485.75497881607,1095.30508920223,1926.87483053533,1742.32590184656,1511.3924971391,1462.17306661889,1109.18446667221,984.289775123596,849.917681600441,823.440542097771,829.7125679029,852.484614357795,971.083107460278,1078.53811286541,919.576035846785,991.662811007962,4589.22525470024,"Industrials: Commercial & Professional Services"
"18",18,9744.02792532459,9715.06808545321,9668.57380554816,9559.3089906517,5156.42504556255,5158.03521456874,5211.81233284773,4888.38045874255,4037.86269271459,3705.77266233702,2927.57713065508,2703.18021706814,2732.57794622083,2616.92184012709,2375.78035987875,2506.82847232257,3255.46975311762,2926.82444343747,2558.0050402239,2288.49640057589,1834.35581317149,1874.34574162576,1805.56565689043,1880.31367701374,1723.13249832273,1988.34408245488,NA,"Industrials: Transportation"
"19",19,9428.81129108281,9457.74258470055,9228.76180974612,8889.48847353386,8159.68814592285,8314.50802583772,7908.85223568916,707.098707037702,633.798090760181,584.026005267687,484.348858814783,650.096397438931,660.010459666871,608.165263239521,1104.12276462482,797.361646446972,1747.75480824814,1145.74987704508,1107.70285419524,1142.44304237187,1104.61383107886,963.0177758989,1232.56648273707,1514.18106593891,1249.59518990105,1110.96712535825,8106.69857834741,"Information Technology: Software & Services"
"20",20,3698.5308716496,4647.18207524934,4125.03639527208,3025.13417954917,2262.41209036966,2214.1001808836,2225.67258720431,1938.66027127494,1658.4425733126,1837.78791684916,2178.82093220187,2434.88963479667,1753.99213874319,1180.58107336498,1305.35575984019,1262.88285621805,1365.69662641969,1861.87665094933,2418.54684841523,2591.12187161201,2927.16104437273,2693.87168299823,2778.2703391075,1873.40215652005,1981.95074035309,2797.58431382436,NA,"Information Technology: Technology Hardware & Equipment"
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,0,10000,10000,10000,10000,10000,10000,10000,5006.38890290867,8111.37565084291,8306.94124519224,7177.49209541983,5001.53822241412,9124.69719750851,9294.24258327961,8825.88689082734,6334.87916485897,10000,NA,"Information Technology: Semiconductors & Semiconductor Equipment"
